iter	Logloss
0	0.4073772263
1	0.3137234975
2	0.284236184
3	0.2668503982
4	0.2593665744
5	0.2516184276
6	0.2445631076
7	0.2384404882
8	0.2360618876
9	0.2336608468
10	0.229775124
11	0.2276650503
12	0.2251991995
13	0.2228250972
14	0.2215833855
15	0.2202659273
16	0.2188989356
17	0.2174759806
18	0.2164400273
19	0.2145296529
20	0.2134351214
21	0.2124248348
22	0.2113669983
23	0.2102720461
24	0.2091248728
25	0.2076362453
26	0.2066888613
27	0.2055625239
28	0.2046374022
29	0.2037215169
30	0.2020789062
31	0.2010651162
32	0.2003155492
33	0.199547054
34	0.1989116811
35	0.1977211783
36	0.1968471172
37	0.1957080812
38	0.1950747179
39	0.1941590906
40	0.1930812766
41	0.1924486569
42	0.19179662
43	0.1906261212
44	0.1900373396
45	0.189016182
46	0.1880234969
47	0.1874627296
48	0.1864628676
49	0.1859694423
50	0.1854000284
51	0.1847740363
52	0.1839432146
53	0.1834647897
54	0.182940847
55	0.1818482915
56	0.181244672
57	0.1804523567
58	0.1792150047
59	0.1787887539
60	0.1783067348
61	0.1779043172
62	0.1771281345
63	0.1759185832
64	0.175523618
65	0.1751159439
66	0.1744740365
67	0.173006689
68	0.1721463838
69	0.1697501862
70	0.1693384959
71	0.1689667046
72	0.1683670976
73	0.1674515062
74	0.1667025898
75	0.1659401991
76	0.1655595047
77	0.164865277
78	0.1644866935
79	0.1638354875
80	0.1634971926
81	0.1630796548
82	0.1627086068
83	0.1620494
84	0.1610732023
85	0.160270845
86	0.1598202952
87	0.1594650718
88	0.1591502269
89	0.1583429364
90	0.1579797457
91	0.1576658943
92	0.157323332
93	0.1570125802
94	0.1566978865
95	0.1564011047
96	0.1559077381
97	0.155400761
98	0.1551113733
99	0.154801749
