iter	Passed	Remaining
0	172	171872
1	312	156138
2	452	150517
3	584	145628
4	732	145845
5	875	144982
6	1016	144182
7	1156	143427
8	1303	143538
9	1436	142180
10	1585	142564
11	1718	141490
12	1878	142652
13	2009	141525
14	2163	142089
15	2298	141347
16	2446	141461
17	2578	140690
18	2724	140650
19	2860	140146
20	3006	140170
21	3149	140001
22	3294	139928
23	3430	139524
24	3568	139179
25	3701	138668
26	3845	138589
27	4009	139177
28	4256	142504
29	4485	145026
30	4731	147912
31	4978	150605
32	5216	152865
33	5455	155003
34	5719	157695
35	5959	159585
36	6213	161717
37	6464	163649
38	6706	165246
39	6909	165837
40	7154	167351
41	7400	168812
42	7644	170129
43	7793	169340
44	7941	168539
45	8083	167635
46	8231	166912
47	8360	165823
48	8501	164988
49	8643	164235
50	8783	163441
51	8920	162619
52	9074	162145
53	9212	161397
54	9351	160684
55	9486	159915
56	9630	159325
57	9767	158635
58	9907	158013
59	10039	157285
60	10198	156992
61	10338	156410
62	10483	155915
63	10612	155210
64	10753	154683
65	10883	154017
66	11027	153556
67	11173	153147
68	11313	152647
69	11451	152135
70	11591	151669
71	11722	151094
72	11863	150645
73	12001	150185
74	12154	149908
75	12291	149436
76	12432	149025
77	12570	148587
78	12707	148150
79	12836	147618
80	12980	147276
81	13119	146879
82	13268	146593
83	13400	146125
84	13539	145747
85	13669	145276
86	13817	145001
87	13948	144560
88	14099	144321
89	14244	144027
90	14392	143767
91	14528	143392
92	14670	143075
93	14805	142695
94	14944	142365
95	15082	142028
96	15239	141867
97	15378	141545
98	15521	141261
99	15651	140866
100	15795	140599
101	15923	140188
102	16064	139904
103	16217	139721
104	16357	139428
105	16494	139116
106	16633	138822
107	16764	138461
108	16913	138259
109	17044	137904
110	17187	137658
111	17328	137392
112	17473	137162
113	17619	136938
114	17851	137377
115	18087	137842
116	18334	138368
117	18573	138830
118	18787	139089
119	19023	139509
120	19257	139896
121	19513	140432
122	19755	140858
123	19994	141249
124	20203	141421
125	20447	141837
126	20703	142318
127	20945	142691
128	21201	143150
129	21365	142983
130	21520	142757
131	21653	142387
132	21792	142058
133	21930	141727
134	22068	141404
135	22210	141100
136	22350	140789
137	22491	140493
138	22634	140201
139	22767	139860
140	22924	139663
141	23052	139286
142	23182	138933
143	23310	138570
144	23441	138225
145	23573	137886
146	23706	137559
147	23829	137178
148	23966	136880
149	24091	136515
150	24217	136163
151	24345	135820
152	24475	135492
153	24605	135172
154	24737	134857
155	24864	134526
156	25001	134243
157	25140	133978
158	25289	133761
159	25419	133452
160	25579	133298
161	25709	132990
162	25855	132768
163	25985	132464
164	26134	132255
165	26265	131961
166	26409	131733
167	26558	131529
168	26697	131275
169	26828	130985
170	26977	130784
171	27109	130505
172	27254	130284
173	27385	130004
174	27527	129772
175	27670	129549
176	27811	129317
177	27951	129077
178	28094	128856
179	28230	128605
180	28368	128361
181	28497	128083
182	28656	127937
183	28789	127674
184	28936	127477
185	29070	127220
186	29223	127053
187	29354	126788
188	29495	126564
189	29637	126347
190	29784	126154
191	29919	125910
192	30062	125703
193	30202	125482
194	30345	125271
195	30474	125005
196	30613	124783
197	30759	124590
198	30900	124378
199	31035	124142
200	31192	123993
201	31400	124048
202	31623	124158
203	31867	124344
204	32095	124467
205	32337	124642
206	32573	124786
207	32813	124944
208	33058	125114
209	33303	125285
210	33524	125359
211	33746	125436
212	33971	125519
213	34210	125653
214	34426	125698
215	34656	125790
216	34907	125955
217	35045	125712
218	35191	125500
219	35322	125234
220	35485	125081
221	35618	124825
222	35759	124598
223	35903	124378
224	36051	124176
225	36184	123924
226	36323	123690
227	36463	123463
228	36606	123246
229	36743	123010
230	36889	122804
231	37023	122559
232	37170	122359
233	37303	122112
234	37444	121894
235	37573	121634
236	37711	121407
237	37860	121216
238	38003	121005
239	38134	120758
240	38281	120561
241	38409	120306
242	38552	120100
243	38684	119858
244	38824	119641
245	38973	119454
246	39118	119255
247	39257	119039
248	39397	118824
249	39526	118579
250	39673	118388
251	39803	118146
252	39950	117957
253	40086	117735
254	40216	117495
255	40339	117236
256	40474	117013
257	40595	116750
258	40733	116537
259	40855	116280
260	40995	116075
261	41120	115829
262	41266	115641
263	41396	115407
264	41539	115212
265	41668	114978
266	41806	114772
267	41947	114572
268	42087	114371
269	42222	114157
270	42361	113953
271	42489	113721
272	42629	113521
273	42758	113293
274	42900	113100
275	43043	112910
276	43179	112701
277	43314	112492
278	43453	112294
279	43583	112072
280	43736	111910
281	43865	111686
282	44028	111548
283	44156	111324
284	44293	111122
285	44427	110912
286	44570	110727
287	44700	110510
288	44862	110369
289	45102	110422
290	45328	110438
291	45564	110479
292	45799	110512
293	46059	110606
294	46303	110658
295	46507	110612
296	46743	110642
297	46990	110694
298	47222	110711
299	47422	110652
300	47668	110699
301	47882	110668
302	48100	110646
303	48317	110622
304	48569	110675
305	48719	110493
306	48864	110303
307	49001	110093
308	49142	109894
309	49283	109696
310	49423	109494
311	49555	109276
312	49701	109088
313	49831	108867
314	49975	108676
315	50102	108449
316	50258	108285
317	50389	108068
318	50528	107867
319	50665	107663
320	50805	107466
321	50936	107250
322	51079	107061
323	51234	106896
324	51373	106698
325	51512	106501
326	51650	106301
327	51780	106087
328	51924	105900
329	52057	105692
330	52198	105499
331	52335	105301
332	52483	105124
333	52616	104917
334	52783	104779
335	52916	104572
336	53061	104391
337	53197	104191
338	53355	104035
339	53486	103826
340	53629	103640
341	53769	103451
342	53913	103269
343	54047	103066
344	54194	102891
345	54336	102705
346	54480	102524
347	54612	102319
348	54758	102142
349	54894	101947
350	55036	101761
351	55166	101557
352	55314	101382
353	55440	101170
354	55571	100967
355	55700	100761
356	55829	100555
357	55952	100340
358	56081	100134
359	56203	99917
360	56355	99753
361	56493	99565
362	56632	99380
363	56764	99181
364	56913	99013
365	57046	98817
366	57194	98648
367	57340	98475
368	57472	98279
369	57600	98075
370	57728	97874
371	57851	97663
372	57987	97475
373	58109	97262
374	58243	97072
375	58375	96879
376	58505	96681
377	58740	96658
378	58948	96587
379	59174	96548
380	59398	96502
381	59630	96470
382	59854	96422
383	60079	96377
384	60312	96343
385	60539	96299
386	60776	96268
387	60987	96197
388	61224	96165
389	61464	96137
390	61714	96123
391	61938	96067
392	62142	95980
393	62372	95933
394	62527	95769
395	62664	95579
396	62795	95378
397	62942	95203
398	63071	95002
399	63210	94815
400	63345	94622
401	63484	94437
402	63631	94263
403	63769	94076
404	63902	93881
405	64053	93713
406	64181	93512
407	64318	93325
408	64450	93130
409	64602	92964
410	64738	92776
411	64881	92598
412	65010	92400
413	65156	92226
414	65286	92030
415	65430	91854
416	65567	91669
417	65715	91498
418	65855	91317
419	65999	91141
420	66137	90959
421	66277	90778
422	66411	90589
423	66555	90415
424	66697	90237
425	66844	90067
426	66976	89877
427	67121	89703
428	67262	89526
429	67402	89347
430	67531	89154
431	67682	88990
432	67813	88800
433	67954	88623
434	68087	88435
435	68232	88263
436	68361	88072
437	68504	87898
438	68645	87722
439	68792	87553
440	68929	87372
441	69075	87203
442	69204	87013
443	69351	86845
444	69482	86658
445	69622	86481
446	69770	86315
447	69914	86144
448	70043	85955
449	70186	85783
450	70317	85596
451	70463	85428
452	70593	85241
453	70747	85084
454	70886	84908
455	71026	84733
456	71157	84548
457	71300	84377
458	71431	84192
459	71570	84017
460	71700	83831
461	71847	83666
462	71986	83492
463	72128	83321
464	72275	83156
