iter	Passed	Remaining
0	199	19746
1	285	14012
2	370	11983
3	452	10865
4	536	10193
5	619	9709
6	704	9359
7	794	9136
8	877	8871
9	960	8646
10	1045	8462
11	1128	8277
12	1210	8100
13	1293	7948
14	1376	7800
15	1459	7660
16	1541	7528
17	1626	7408
18	1707	7278
19	1802	7210
20	1884	7088
21	1971	6991
22	2057	6887
23	2139	6775
24	2224	6673
25	2322	6609
26	2405	6504
27	2493	6412
28	2575	6305
29	2658	6203
30	2750	6122
31	2835	6026
32	2916	5922
33	3001	5827
34	3090	5740
35	3178	5650
36	3261	5553
37	3342	5453
38	3423	5354
39	3503	5255
40	3588	5164
41	3674	5074
42	3766	4993
43	3849	4898
44	3931	4805
45	4018	4716
46	4100	4624
47	4182	4530
48	4269	4443
49	4352	4352
50	4434	4260
51	4516	4169
52	4601	4080
53	4683	3989
54	4770	3903
55	4855	3814
56	4939	3726
57	5023	3637
58	5105	3547
59	5188	3459
60	5271	3370
61	5353	3281
62	5436	3192
63	5518	3104
64	5600	3015
65	5682	2927
66	5765	2839
67	5855	2755
68	5941	2669
69	6026	2582
70	6112	2496
71	6194	2408
72	6314	2335
73	6457	2268
74	6598	2199
75	6747	2130
76	6890	2058
77	7034	1984
78	7181	1908
79	7338	1834
80	7497	1758
81	7661	1681
82	7824	1602
83	7985	1520
84	8124	1433
85	8285	1348
86	8436	1260
87	8591	1171
88	8739	1080
89	8889	987
90	9044	894
91	9194	799
92	9355	704
93	9511	607
94	9663	508
95	9812	408
96	9909	306
97	9994	203
98	10075	101
99	10157	0
